customerID,gender,SeniorCitizen,Partner,Dependents,tenure,CallService,MultipleConnections,InternetConnection,OnlineSecurity,OnlineBackup,DeviceProtectionService,TechnicalHelp,OnlineTV,OnlineMovies,Agreement,BillingMethod,PaymentMethod,MonthlyServiceCharges,TotalAmount,Churn
2907-ILJBN,Female,0,Yes,Yes,11,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Mailed check",20.6,233.9,No
3896-RCYYE,Female,0,No,No,67,No,"No phone service",DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",53.4,3579.15,No
9764-REAFF,Female,0,Yes,No,59,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",18.4,1057.85,No
6651-RLGGM,Male,0,Yes,Yes,67,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",26.3,1688.9,No
5879-SESNB,Female,0,No,No,11,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,No,"Electronic check",75.25,888.65,No
8670-MEFCP,Female,0,Yes,Yes,36,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",92.9,3379.25,No
9782-LGXMC,Female,0,Yes,Yes,49,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,"Bank transfer (automatic)",61.75,3024.15,No
0931-MHTEM,Female,0,No,No,54,Yes,No,"Fiber optic",Yes,Yes,No,No,Yes,Yes,"One year",Yes,"Credit card (automatic)",100.05,5299.65,No
4993-JCRGJ,Male,0,No,No,26,Yes,Yes,"Fiber optic",No,No,Yes,Yes,No,No,Month-to-month,Yes,"Mailed check",84.3,2281.6,No
7369-TRPFD,Male,0,No,No,19,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Mailed check",18.8,279.2,No
